"title","url"
"The Space Quest II Master Disk Blunder","https://lanceewing.github.io/blog/sierra/agi/sq2/2024/05/22/do-you-own-this-space-quest-2-disk.html"
"Show HN: Porter Cloud – PaaS with an eject button","item?id=40456959"
"Tom Waits vs. Frito-Lay, Inc (2003)","http://tomwaitslibrary.info/biography/copyright/frito-lay/"
"BB(3, 4) > Ack(14)","https://www.sligocki.com//2024/05/22/bb-3-4-a14.html"
"Making EC2 boot time faster","https://depot.dev/blog/faster-ec2-boot-time"
"Launch HN: Metriport (YC S22) – Open-source API for healthcare data exchange","item?id=40456064"
"Running PHP Fast at the Edge with WebAssembly","https://wasmer.io/posts/running-php-blazingly-fast-at-the-edge-with-wasm"
"Memfault (YC W19) Is Hiring a Firmware Engineer in NYC/Boston","https://jobs.lever.co/memfault/9fa58d3b-2415-4d80-9e5c-be989f90c2e4"
"Amber: A code search and replace tool","https://github.com/dalance/amber"
"First pictures from Euclid satellite reveal billions of orphan stars","https://www.nottingham.ac.uk/news/first-pictures-from-euclid-satellite-reveal-billions-of-orphan-stars"
